street,zip,city
Friedrichstrasse 76,10117,Berlin
Neue Schoenhauserstraße 3,10178,Berlin
Kurfuerstendamm 11,10719,Berlin
Neue Rothofstrasse 13,60313,Frankfurt am Main
Taunusanlage 8,60329,Frankfurt am Main
Axel-Springer-Platz 3,20355,Hamburg
Gaensemarkt 43,20354,Hamburg
Oskar-von-Miller-Ring 20,80333,Muenchen
Neuturmstraße 5,80331,Muenchen
Friesenplatz 4,50672,Koeln
Bahnhofstrasse 8,30159,Hannover
Koenigsallee 92,40212,Duesseldorf
Sebastianstrasse 38,53115,Bonn
Tuebinger Strasse 26,70178,Stuttgart
33 Rue la Fayette,75009,Paris
Via San Marco 21,20121,Mailand
Rue du Commerce 31,1000,Bruessel
Berliner Allee 59,40212,Duesseldorf
Stadttor 1,40219,Duesseldorf
Oststrasse 10,40211,Duesseldorf
19 Rue de l'Aqueduc,75010,Paris
45 rue Raymond Poincare,54000,Nancy
43 Avenue du Marechal Juin,51100,Reims
36 Rue du Ctre,69700,Loire-sur-Rhône
Rue de Liege 455,4557,Tinlot
Kantstrasse 34,51103,Cologne
Messedamm 35,14055,Berlin
Genter Strasse 58,80805,Munich
Fugger Strasse 18,86150,Augsburg
Gotthardstrasse 88,80689,Munich
Prenzlauer Allee 20,17268,Templin
Suiestraat 96,3028 JB,Rotterdam
Boschdijk 339,5621 AE,Eindhoven
Korianderstraat 1,5643 AM,Eindhoven
Via San Cosmo fuori Porta Nolana 55,80142,Napoli
Piazza Garibaldi 28,80142,Napoli
Obere Haltenstrasse 66,3625,Heiligenschwendi
Breitenstrasse 62,8832,Freienbach
Langwiesstrasse 21,8050,Zuerich 
Schoenefelder Strasse 7,4129,Leipzig
Zschortauer Strasse 57,4129,Leipig
2 Rue Rodier,75009,Paris
21 Rue d'Enghien,75010,Paris
Braeuhausstraße 6,80331,Munich
Prinzregentenstrasse 5,80538,Munich
Franz-Joseph-Strasse 38,80801,Munich
Onkelboerensteeg 51,1011 HH,Amsterdam
Statenjachtstraat 347,1034 GA,Amsterdam
Sumatrastraat 199,1094 NA,Amsterdam
